ApplStandard,MEPSComp,N-Standard,Model Name,Model_No,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Product Website,Representative Brand URL,Star Image Large,Star Image Small
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,,FTXZ25N / RXZ25N,,DAIKIN,0.11,Non Ducted,Single Split System,Wall Hung,Air,Air,Japan,0.42,2.39,2.5,370,4.094072866,7.529,1.839,295,0.62,3.6,Calorimeter Room,5.848,5.794,TRUE,100,,1,1,0,0,,,,5.801404402,5.761351144,,,7.1028,7.0227,7,7,Calorimeter Room,Single,R32,"Australia,New Zealand",75490,3/10/2018,,Approved,Reverse Cycle,798,Class 10,FALSE,,FALSE,,,,,5.848,Available,,,http://www.daikin.com.au/,http://www.daikin.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_7_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-7.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,,SRK20ZMXA-S / SRC20ZMXA-S,,"MITSUBISHI HEAVY INDUSTRIES, LTD.",0.002,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.35,1.998,2,,0,3.525,0.984,,0.45,2.5,Calorimeter Room,5.6732,5.3609,TRUE,59.4,,6,6,6.287234043,5.403225806,,,,5.366659561,5.139635239,,,6.2333,5.7793,6,5.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",78834,9/05/2019,,Approved,Reverse Cycle,,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,5.6732,Available,,,http://www.mhiaa.com.au/,http://www.mhiaa.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,Each individual model number listed above,SRK20ZIX-S,,MITSUBISHI HEAVY INDUSTRIES LTD.,0,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.35,2,2,,3.576,3.538,0.9895,,0.45,2.5,Calorimeter Room,5.774,5.35,TRUE,100,,7,7,,,,,,5.417,5.0948,,,6.334,5.6896,6,5.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",51242,4/08/2015,,Approved,Reverse Cycle,,Class 10,,,,,,,,5.774,Unavailable,,,http://www.mhiaa.com.au/,http://www.mhiaa.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,SRK20ZJX-S,,MITSUBISHI HEAVY INDUSTRIES LTD.,0.002,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.35,1.997,2,,3.58,3.525,0.984,,0.45,2.5,Calorimeter Room,5.67,5.36,TRUE,59.4,,6,6,,,,,,5.3667,5.1396,,,6.2334,5.7792,6,5.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",51887,3/08/2015,,Approved,Reverse Cycle,,Class 10,,,,,,,,5.67,Unavailable,,,http://www.mhiaa.com.au/,http://www.mhiaa.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,K09AWN-NM12/K09AWN-UM12,,LG,0.007,Non Ducted,Single Split System,Wall Hung,Air,Air,"""Korea, Republic of""",0.46,2.513,2.52,235,0,,,295,0.59,3.2,Calorimeter Room,5.5271,5.453,TRUE,100,,1.854,1.854,0,0,,,,5.452990726,5.396282031,,,6.406,6.2926,6,6,Calorimeter Room,Single,R410A,"Australia,New Zealand",72845,17/07/2018,,Approved,Reverse Cycle,875,Class 10,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,5.5271,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,K09AWN-NM12/K09AWN-UM12,,LG,0.007,Non Ducted,Single Split System,Wall Hung,Air,Air,"""Korea, Republic of""",0.46,2.513,2.52,235,0,,,295,0.59,3.2,Calorimeter Room,5.5271,5.453,TRUE,,,1.854,1.854,0,0,,,,5.452990726,5.396282031,,,6.406,6.2926,6,6,Calorimeter Room,Single,R410A,"Australia,New Zealand",70709,1/03/2018,,Approved,Reverse Cycle,875,Class 10,FALSE,,FALSE,FALSE,FALSE,FALSE,,5.5271,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,,RAS-10G2KVP-A + RAS-10G2AVP-A,,Toshiba,0.5,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.49,2,2.5,270,0,,,293,0.58,3.2,Calorimeter Room,5.0816,5.2997,TRUE,,,2,2,0,0,,,,5.012480876,5.241011199,,,5.525,5.982,5.5,5.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",80506,1/05/2019,,Approved,Reverse Cycle,831,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,5.0816,Available,,,http://www.toshiba-aircon.in.th/,http://www.toshiba-aircon.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,,MSZ-FH25VE / MUZ-FH25VE,,MITSUBISHI ELECTRIC,0.13,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.51,2.37,2.5,234,0,2.583,0.567,305,0.58,3.2,Calorimeter Room,5.0632,5.4897,TRUE,,,1,1,0,0,,,,5.029643881,5.457993099,,,5.5593,6.416,5.5,6,Calorimeter Room,Single,R410A,"Australia,New Zealand",87993,3/03/2020,,Approved,Reverse Cycle,925,,FALSE,,FALSE,,,,,5.0632,Available,,,http://www.MitsubishiElectric.com.au/,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
AS/NZS 3823.2:2013 [Non Multi-Split],NZ MEPS April 2013,AS/NZS 3823.1.1:2012,,MSZ-FH25VE,,MITSUBISHI ELECTRIC,0.13,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.51,2.37,2.5,234,0,2.583,0.567,305,0.58,3.2,Calorimeter Room,5.0632,5.4897,TRUE,100,,1,1,0,0,,,,5.029643881,5.457993099,,,5.5593,6.416,5.5,6,Calorimeter Room,Single,R410A,"Australia,New Zealand",87649,25/02/2115,,Approved,Reverse Cycle,925,Class 10,FALSE,,FALSE,,,,,5.0632,Available,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
AS/NZS 3823.2:2013 [Non Multi-Split],NZ MEPS April 2013,AS/NZS 3823.1.1:2012,,MSZ-FH25VEHZ,,MITSUBISHI ELECTRIC,0.13,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.51,2.37,2.5,234,0,,,305,0.58,3.2,Calorimeter Room,5.0632,5.4897,TRUE,,,1,1,0,0,,,,5.029643881,5.457993099,,,5.5593,6.416,5.5,6,Calorimeter Room,Single,R410A,"Australia,New Zealand",87652,24/02/2115,,Approved,Reverse Cycle,925,Class 10,FALSE,,FALSE,,,,,5.0632,Available,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,K09AWN-NM11/K09AWN-UM11,,LG,0.005,Non Ducted,Single Split System,Wall Hung,Air,Air,"""Korea, Republic of""",0.46,2.495,2.5,235,,,,295,0.59,3.2,Calorimeter Room,5.529,5.453,TRUE,100,,9,9,0,0,,,,5.187009076,5.188212381,,,5.874018151,5.876424763,5.5,5.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",67279,12/08/2017,,Approved,Reverse Cycle,875,Class 10,FALSE,,FALSE,FALSE,FALSE,FALSE,,5.528,Unavailable,,,,,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,,FTXZ35N / RXZ35N,,DAIKIN,0.58,Non Ducted,Single Split System,Wall Hung,Air,Air,Japan,0.68,2.92,3.5,370,3.589452333,8.848,2.465,295,0.99,5,Calorimeter Room,5.1604,5.1002,TRUE,100,,1,1,0,0,,,,5.134109997,5.082813855,,,5.7682,5.6656,5.5,5.5,Calorimeter Room,Single,R32,"Australia,New Zealand",75492,8/11/2018,,Approved,Reverse Cycle,798,Class 10,FALSE,,FALSE,,,,,5.1604,Available,,,http://www.daikin.com.au/,http://www.daikin.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,,ASTG07CMCA/AOTG07CMCA,,FUJITSU,0.75,Non Ducted,Single Split System,Wall Hung,Air,,China,0.42,1.35,2.1,203,0,,,268,,,Calorimeter Room,5.2346,,TRUE,,,4.49,,0,0,,,,5.045502339,,,,5.591,,5.5,,Calorimeter Room,Single,R32,"Australia,New Zealand",75305,27/09/2018,,Approved,Cooling Only,840,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,5.2346,Available,,,,http://www.fujitsugeneral.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,,FFQ25C2 / RXS25K3,,DAIKIN,0.51,Non Ducted,Single Split System,Cassette,Air,Air,Czech Republic,0.56,1.99,2.5,575,0,,,260,0.8,3.2,Calorimeter Room,5.36,4.0633,TRUE,100,,6.9,6.89,0,0,,,,5.121130012,3.946940334,,,5.7423,3.3939,5.5,3,Calorimeter Room,Single,R410A,"Australia,New Zealand",73805,6/09/2018,31/03/2011,Approved,Reverse Cycle,575,Class 10,FALSE,,FALSE,,,,,5.36,Unavailable,,,http://www.daikin.com.au/,http://www.daikin.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
AS/NZS 3823.2:2011/Amdt A:2013 ,NZ MEPS April 2013,AS/NZS 3823.1.1:1998/Amdt 3:2006,Each individual model number listed above,RAS-07PKVP-E/PAVP-E,,TOSHIBA,0.41,Non Ducted,Single Split System,Wall Hung,Air,Air,Japan,0.355,1.59,2,,,,,,0.44,2.5,Calorimeter Room,5.618,5.733,TRUE,100,,9,9,,,,,,5.1722,5.36,,,5.8444,6.22,5.5,6,Calorimeter Room,Single,R410A,"Australia,New Zealand",50792,,,Approved,Reverse Cycle,,,,,,,,,,5.618,Unavailable,,,http://www.ahi-carrier.co.nz/,http://www.toshibaheatpumps.com,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,,FTXM20P / RXM20P,,DAIKIN,0,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.41,2,2,215,0,,,295,0.59,2.7,Calorimeter Room,4.8321,4.8822,TRUE,,,1.5,1.5,0,0,,,,4.773235273,4.839131116,,,5.0465,5.1783,5,5,Calorimeter Room,Single,R32,"Australia,Fiji,New Zealand",83388,5/11/2019,,Approved,Reverse Cycle,800,Class 10,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,4.8321,Available,,,http://www.daikin.com.au/,http://www.daikin.com.au,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,,SRK25ZMXA-S / SRC25ZMXA-S,,"MITSUBISHI HEAVY INDUSTRIES, LTD.",0.005,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,0.49,2.545,2.55,,0,,,,0.595,3.13,Calorimeter Room,4.9883,5.1288,TRUE,50.24,,4,4,0.653571429,5.808118081,,,,4.859948242,5.019542331,,,5.2199,5.5391,5,5.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",78835,15/02/2019,,Approved,Reverse Cycle,,Class 10,TRUE,TRUE,,TRUE,TRUE,TRUE,,4.9883,Available,,,http://www.mhiaa.com.au/,http://www.mhiaa.com.au/,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,http://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
